## BOM.csv

| Name | Description | Quantity | Price (USD) | Link | Vendor |
|------|------------|----------|-------------|------|--------|
| Gateron Mechanical Switches (G Pro 3.0 Yellow Pre-lubed) | Linear pre-lubed keyboard switches (~50g actuation, smooth) | 90 | 17.06 | https://www.thecosmicbyte.com/product/gateron-mechanical-switches-compatible-with-cosmic-byte-hot-swappable-keyboards-qty-1pc/?attribute_pa_switch-type=g-pro-3-0-yellow-pre-lubed | Cosmic Byte |
| Keycaps | Mechanical keyboard keycap set (standard layout) | 90 | 16.19 | https://amzn.in/d/05XbxYkm | Amazon |
| Diodes | General purpose diodes for keyboard matrix | 100 | 2.65 | https://amzn.in/d/0eVDrr6B | Amazon |
| PCB | Custom keyboard printed circuit board | 1 | 42.97 | N/A | JLCPCB |
| RP2040 | Microcontroller board (dual-core ARM Cortex-M0+) | 1 | 8.09 | https://amzn.in/d/00qoAonb | Amazon |
| Screws | Small M2/M2.5 screws for keyboard assembly | 1 pack | 1.53 | https://amzn.in/d/04wa89yN | Amazon |
| Stabilizers | PCB/plate mount stabilizers for larger keys | 1 set | 2.56 | https://www.aliexpress.us/item/3256806342416791.html | AliExpress |
| Soldering Iron | Basic soldering iron for assembling PCB components | 1 | 5.96 | https://amzn.in/d/032QO002 | Amazon |

**Total: 97.01 USD**
